,TimeStamp,Metric1,Metric2,Metric3,Metric1 Interpretation,Metric2 Interpretation,Metric3 Interpretation,Link,RT,Quotes,Likes,Views
twitter.com/DrCarlosLomeli/status/1716943558354329919,2023-10-24 22:23:38.000,0.9440688093503317,0.19575319841364025,0.34737999240557355,Mucha Aprobacion/Alegria,Enojo/Molestia,Enojo/Molestia,twitter.com/DrCarlosLomeli/status/1716943558354329919,13,17,73,0
twitter.com/DrCarlosLomeli/status/1717206037634199771,2023-10-25 15:46:38.000,0.7298367917537689,0.722526691525077,0.5667136311531067,Aprobacion/Alegria,Aprobacion/Alegria,Neutral,twitter.com/DrCarlosLomeli/status/1717206037634199771,8,4,68,0
twitter.com/DrCarlosLomeli/status/1726313273300316345,2023-11-19 18:55:32.000,0.364214391708374,0.20716530590276577,0.4239273500442505,Enojo/Molestia,Enojo/Molestia,Neutral,twitter.com/DrCarlosLomeli/status/1726313273300316345,57,81,156,0
twitter.com/DrCarlosLomeli/status/1732782133834350926,2023-12-07 15:20:28.000,0.6591818630695343,0.2149048320915158,0.5791355073451996,Aprobacion/Alegria,Enojo/Molestia,Neutral,twitter.com/DrCarlosLomeli/status/1732782133834350926,2,2,38,0
twitter.com/DrCarlosLomeli/status/1731855942700978228,2023-12-05 02:00:07.000,0.4902972795746543,0.21151949856574845,0.3752612200650302,Neutral,Enojo/Molestia,Enojo/Molestia,twitter.com/DrCarlosLomeli/status/1731855942700978228,14,13,84,0
twitter.com/DrCarlosLomeli/status/1714370703003124137,2023-10-17 20:00:01.000,0.4902972795746543,0.21151949856574845,0.3752612200650302,Neutral,Enojo/Molestia,Enojo/Molestia,twitter.com/DrCarlosLomeli/status/1714370703003124137,2,0,48,0
twitter.com/DrCarlosLomeli/status/1713043505973440840,2023-10-14 04:06:13.000,0.9380295872688293,0.2610860449654896,0.9884314239025116,Mucha Aprobacion/Alegria,Enojo/Molestia,Mucha Aprobacion/Alegria,twitter.com/DrCarlosLomeli/status/1713043505973440840,20,11,73,0
twitter.com/DrCarlosLomeli/status/1715053810983260553,2023-10-19 17:14:27.000,0.9380295872688293,0.2610860449654896,0.9884314239025116,Mucha Aprobacion/Alegria,Enojo/Molestia,Mucha Aprobacion/Alegria,twitter.com/DrCarlosLomeli/status/1715053810983260553,7,4,61,0
twitter.com/DrCarlosLomeli/status/1703969291161276422,2023-09-19 03:08:31.000,0.9380295872688293,0.2610860449654896,0.9884314239025116,Mucha Aprobacion/Alegria,Enojo/Molestia,Mucha Aprobacion/Alegria,twitter.com/DrCarlosLomeli/status/1703969291161276422,4,2,39,0
twitter.com/DrCarlosLomeli/status/1721566549939536244,2023-11-06 16:33:45.000,0.8731917440891266,0.22687796457896364,0.47348594894775975,Aprobacion/Alegria,Enojo/Molestia,Neutral,twitter.com/DrCarlosLomeli/status/1721566549939536244,28,43,117,0
twitter.com/DrCarlosLomeli/status/1707379634919067692,2023-09-28 13:00:01.000,0.032829999923706055,0.2081940514508169,0.9832890927791595,Mucho Enojo/Molestia,Enojo/Molestia,Mucha Aprobacion/Alegria,twitter.com/DrCarlosLomeli/status/1707379634919067692,4,6,49,0
twitter.com/DrCarlosLomeli/status/1732469291532832893,2023-12-06 18:37:21.000,0.40775415368169265,0.22782866306152352,0.349304453791859,Neutral,Enojo/Molestia,Enojo/Molestia,twitter.com/DrCarlosLomeli/status/1732469291532832893,86,110,218,0
twitter.com/DrCarlosLomeli/status/1710716625509380152,2023-10-07 18:00:01.000,0.7842911779880524,0.04675475240210255,0.6534227430820465,Aprobacion/Alegria,Mucho Enojo/Molestia,Aprobacion/Alegria,twitter.com/DrCarlosLomeli/status/1710716625509380152,7,14,58,0
twitter.com/DrCarlosLomeli/status/1730532478337610081,2023-12-01 10:21:09.000,0.7842911779880524,0.04675475240210255,0.6534227430820465,Aprobacion/Alegria,Mucho Enojo/Molestia,Aprobacion/Alegria,twitter.com/DrCarlosLomeli/status/1730532478337610081,1,0,10,0
twitter.com/DrCarlosLomeli/status/1711419914605449537,2023-10-09 16:34:38.000,0.0811769962310791,0.010365368346638797,0.10916435718536377,Mucho Enojo/Molestia,Mucho Enojo/Molestia,Enojo/Molestia,twitter.com/DrCarlosLomeli/status/1711419914605449537,10,8,58,0
twitter.com/DrCarlosLomeli/status/1725589917512642677,2023-11-17 19:01:10.000,0.6406278204917908,0.1243041493063118,0.280459996064504,Aprobacion/Alegria,Enojo/Molestia,Enojo/Molestia,twitter.com/DrCarlosLomeli/status/1725589917512642677,15,17,83,0
twitter.com/DrCarlosLomeli/status/1731755000643080350,2023-12-04 19:19:01.000,0.6406278204917908,0.1243041493063118,0.280459996064504,Aprobacion/Alegria,Enojo/Molestia,Enojo/Molestia,twitter.com/DrCarlosLomeli/status/1731755000643080350,0,0,18,0
twitter.com/DrCarlosLomeli/status/1715095474825474120,2023-10-19 20:00:00.000,0.6406278204917908,0.1243041493063118,0.280459996064504,Aprobacion/Alegria,Enojo/Molestia,Enojo/Molestia,twitter.com/DrCarlosLomeli/status/1715095474825474120,3,0,39,0
twitter.com/DrCarlosLomeli/status/1714302749783798121,2023-10-17 15:30:00.000,0.6406278204917908,0.1243041493063118,0.280459996064504,Aprobacion/Alegria,Enojo/Molestia,Enojo/Molestia,twitter.com/DrCarlosLomeli/status/1714302749783798121,4,0,51,0
twitter.com/DrCarlosLomeli/status/1731747328191553915,2023-12-04 18:48:32.000,0.645207017660141,0.6272940396551243,0.24857544898986816,Aprobacion/Alegria,Aprobacion/Alegria,Enojo/Molestia,twitter.com/DrCarlosLomeli/status/1731747328191553915,12,10,66,0
twitter.com/DrCarlosLomeli/status/1720890284181979419,2023-11-04 19:46:31.000,0.8695107102394104,0.2602763591106346,0.8742332547903061,Aprobacion/Alegria,Enojo/Molestia,Aprobacion/Alegria,twitter.com/DrCarlosLomeli/status/1720890284181979419,44,22,81,0
twitter.com/DrCarlosLomeli/status/1712172714469855325,2023-10-11 18:26:00.000,0.9072804142447078,0.26570338040772484,0.3115009174627416,Mucha Aprobacion/Alegria,Enojo/Molestia,Enojo/Molestia,twitter.com/DrCarlosLomeli/status/1712172714469855325,19,12,74,0
twitter.com/DrCarlosLomeli/status/1711577709627744304,2023-10-10 03:01:40.000,0.9072804142447078,0.26570338040772484,0.3115009174627416,Mucha Aprobacion/Alegria,Enojo/Molestia,Enojo/Molestia,twitter.com/DrCarlosLomeli/status/1711577709627744304,3,2,44,0
twitter.com/DrCarlosLomeli/status/1710732575155822791,2023-10-07 19:03:24.000,0.5558097296290927,0.3196683030990578,0.5897807280222574,Neutral,Enojo/Molestia,Neutral,twitter.com/DrCarlosLomeli/status/1710732575155822791,45,39,182,0
twitter.com/DrCarlosLomeli/status/1706427428380528723,2023-09-25 21:56:17.000,0.2762007415294647,0.011005802936086929,0.47292137145996094,Enojo/Molestia,Mucho Enojo/Molestia,Neutral,twitter.com/DrCarlosLomeli/status/1706427428380528723,6,4,55,0
twitter.com/DrCarlosLomeli/status/1733139238357533162,2023-12-08 14:59:29.000,0.5819466997134058,0.20428129124768363,0.2923430494571987,Neutral,Enojo/Molestia,Enojo/Molestia,twitter.com/DrCarlosLomeli/status/1733139238357533162,63,244,172,0
twitter.com/DrCarlosLomeli/status/1734342263625642476,2023-12-11 22:39:52.000,0.5819466997134058,0.20428129124768363,0.2923430494571987,Neutral,Enojo/Molestia,Enojo/Molestia,twitter.com/DrCarlosLomeli/status/1734342263625642476,2,0,50,0
twitter.com/DrCarlosLomeli/status/1707255368441561244,2023-09-28 04:46:13.000,0.8485828638076782,0.5575846142031954,0.7171042561531067,Aprobacion/Alegria,Neutral,Aprobacion/Alegria,twitter.com/DrCarlosLomeli/status/1707255368441561244,17,21,107,0
twitter.com/DrCarlosLomeli/status/1720501097440407888,2023-11-03 18:00:01.000,0.5605836182832717,0.17405129293251845,0.2501886487007141,Neutral,Enojo/Molestia,Enojo/Molestia,twitter.com/DrCarlosLomeli/status/1720501097440407888,10,29,75,0
twitter.com/DrCarlosLomeli/status/1711415213914816738,2023-10-09 16:15:58.000,0.259984484740666,0.16249524353649636,0.4270328027861459,Enojo/Molestia,Enojo/Molestia,Neutral,twitter.com/DrCarlosLomeli/status/1711415213914816738,16,22,83,0
twitter.com/DrCarlosLomeli/status/1714046058500931831,2023-10-16 22:30:00.000,0.259984484740666,0.16249524353649636,0.4270328027861459,Enojo/Molestia,Enojo/Molestia,Neutral,twitter.com/DrCarlosLomeli/status/1714046058500931831,0,2,40,0
twitter.com/DrCarlosLomeli/status/1711784970874658932,2023-10-10 16:45:15.000,0.5028630495071411,0.19081648911100305,0.00032258033752441406,Neutral,Enojo/Molestia,Mucho Enojo/Molestia,twitter.com/DrCarlosLomeli/status/1711784970874658932,6,13,42,0
twitter.com/DrCarlosLomeli/status/1710325460645646411,2023-10-06 16:05:40.000,0.5028630495071411,0.19081648911100305,0.00032258033752441406,Neutral,Enojo/Molestia,Mucho Enojo/Molestia,twitter.com/DrCarlosLomeli/status/1710325460645646411,6,0,42,0
twitter.com/DrCarlosLomeli/status/1706046949231603982,2023-09-24 20:44:24.000,0.9603822827339172,0.04331526035534638,0.5298422574996948,Mucha Aprobacion/Alegria,Mucho Enojo/Molestia,Neutral,twitter.com/DrCarlosLomeli/status/1706046949231603982,8,8,55,0
twitter.com/DrCarlosLomeli/status/1716850416808280277,2023-10-24 16:13:31.000,0.7166401961157399,0.23544612811670523,0.6714203357696533,Aprobacion/Alegria,Enojo/Molestia,Aprobacion/Alegria,twitter.com/DrCarlosLomeli/status/1716850416808280277,35,85,128,0
twitter.com/DrCarlosLomeli/status/1709916350083199219,2023-10-05 13:00:01.000,0.7166401961157399,0.23544612811670523,0.6714203357696533,Aprobacion/Alegria,Enojo/Molestia,Aprobacion/Alegria,twitter.com/DrCarlosLomeli/status/1709916350083199219,1,0,38,0
twitter.com/DrCarlosLomeli/status/1705672309283962932,2023-09-23 19:55:43.000,0.7166401961157399,0.23544612811670523,0.6714203357696533,Aprobacion/Alegria,Enojo/Molestia,Aprobacion/Alegria,twitter.com/DrCarlosLomeli/status/1705672309283962932,2,0,27,0
twitter.com/DrCarlosLomeli/status/1717632187699277883,2023-10-26 20:00:00.000,0.8890453577041626,0.05959855700140473,0.9924111068248749,Aprobacion/Alegria,Mucho Enojo/Molestia,Mucha Aprobacion/Alegria,twitter.com/DrCarlosLomeli/status/1717632187699277883,6,5,42,0
twitter.com/DrCarlosLomeli/status/1708179907778408448,2023-09-30 18:00:01.000,0.725864827632904,0.49068286342523676,0.9463502168655396,Aprobacion/Alegria,Neutral,Mucha Aprobacion/Alegria,twitter.com/DrCarlosLomeli/status/1708179907778408448,2,2,40,0
twitter.com/DrCarlosLomeli/status/1715714551956549860,2023-10-21 13:00:00.000,0.5395683628320695,0.23975028262929493,0.7269752740859985,Neutral,Enojo/Molestia,Aprobacion/Alegria,twitter.com/DrCarlosLomeli/status/1715714551956549860,0,10,45,0
twitter.com/DrCarlosLomeli/status/1710127028383387654,2023-10-06 02:57:10.000,0.4758255715171496,0.18690111148701538,0.5837832937637965,Neutral,Enojo/Molestia,Neutral,twitter.com/DrCarlosLomeli/status/1710127028383387654,17,19,92,0
twitter.com/DrCarlosLomeli/status/1731066920919568692,2023-12-02 21:44:50.000,0.4758255715171496,0.18690111148701538,0.5837832937637965,Neutral,Enojo/Molestia,Neutral,twitter.com/DrCarlosLomeli/status/1731066920919568692,0,0,6,0
twitter.com/DrCarlosLomeli/status/1712906051815883136,2023-10-13 19:00:01.000,0.7072146534919739,3.9315652567409966e-05,0.9985914826393127,Aprobacion/Alegria,Mucho Enojo/Molestia,Mucha Aprobacion/Alegria,twitter.com/DrCarlosLomeli/status/1712906051815883136,6,4,40,0
twitter.com/DrCarlosLomeli/status/1717556871043625471,2023-10-26 15:00:43.000,0.9636984035886568,0.24951391883575835,0.6938570635072117,Mucha Aprobacion/Alegria,Enojo/Molestia,Aprobacion/Alegria,twitter.com/DrCarlosLomeli/status/1717556871043625471,47,48,120,0
twitter.com/DrCarlosLomeli/status/1730451686521499792,2023-12-01 05:00:06.000,0.6210157029769,0.23297653001432664,0.521496222299688,Aprobacion/Alegria,Enojo/Molestia,Neutral,twitter.com/DrCarlosLomeli/status/1730451686521499792,20,20,106,0
twitter.com/DrCarlosLomeli/status/1709750835448631476,2023-10-05 02:02:19.000,0.6402531762917837,0.14144013951247386,0.6262215375900269,Aprobacion/Alegria,Enojo/Molestia,Aprobacion/Alegria,twitter.com/DrCarlosLomeli/status/1709750835448631476,16,14,70,0
twitter.com/DrCarlosLomeli/status/1703803442345513087,2023-09-18 16:09:30.000,0.030659794807434082,1.3420107448512762e-06,0.00028437376022338867,Mucho Enojo/Molestia,Mucho Enojo/Molestia,Mucho Enojo/Molestia,twitter.com/DrCarlosLomeli/status/1703803442345513087,7,6,48,0
twitter.com/DrCarlosLomeli/status/1717903978435084311,2023-10-27 14:00:00.000,0.8411382585763931,0.1858140394239756,0.6013041064143181,Aprobacion/Alegria,Enojo/Molestia,Aprobacion/Alegria,twitter.com/DrCarlosLomeli/status/1717903978435084311,19,22,81,0
twitter.com/DrCarlosLomeli/status/1710757445788684482,2023-10-07 20:42:14.000,0.8411382585763931,0.1858140394239756,0.6013041064143181,Aprobacion/Alegria,Enojo/Molestia,Aprobacion/Alegria,twitter.com/DrCarlosLomeli/status/1710757445788684482,15,4,78,0
twitter.com/DrCarlosLomeli/status/1717315100841779669,2023-10-25 23:00:00.000,0.9430313323225293,0.2525200002397737,0.8240457453898021,Mucha Aprobacion/Alegria,Enojo/Molestia,Aprobacion/Alegria,twitter.com/DrCarlosLomeli/status/1717315100841779669,44,28,101,0
twitter.com/DrCarlosLomeli/status/1718794848701137322,2023-10-30 01:00:00.000,0.9646835808570569,0.2361812063011675,0.6834731124914609,Mucha Aprobacion/Alegria,Enojo/Molestia,Aprobacion/Alegria,twitter.com/DrCarlosLomeli/status/1718794848701137322,68,76,173,0
twitter.com/DrCarlosLomeli/status/1720872815556002140,2023-11-04 18:37:06.000,0.6830221274319817,0.10984127871902605,0.3374280719196095,Aprobacion/Alegria,Enojo/Molestia,Enojo/Molestia,twitter.com/DrCarlosLomeli/status/1720872815556002140,24,19,89,0
twitter.com/DrCarlosLomeli/status/1707832618790629735,2023-09-29 19:00:00.000,0.56718769967556,0.12097400140407316,0.6159623563289642,Neutral,Enojo/Molestia,Aprobacion/Alegria,twitter.com/DrCarlosLomeli/status/1707832618790629735,7,10,74,0
twitter.com/DrCarlosLomeli/status/1719384987458588925,2023-10-31 16:05:00.000,0.7626269262769947,0.274779919008195,0.7513819077740544,Aprobacion/Alegria,Enojo/Molestia,Aprobacion/Alegria,twitter.com/DrCarlosLomeli/status/1719384987458588925,36,25,85,0
twitter.com/DrCarlosLomeli/status/1732935460102574133,2023-12-08 01:29:44.000,0.649464444110268,0.3401013849050338,0.36955711716099787,Aprobacion/Alegria,Enojo/Molestia,Enojo/Molestia,twitter.com/DrCarlosLomeli/status/1732935460102574133,10,11,53,0
twitter.com/DrCarlosLomeli/status/1710814536758874314,2023-10-08 00:29:05.000,0.649464444110268,0.3401013849050338,0.36955711716099787,Aprobacion/Alegria,Enojo/Molestia,Enojo/Molestia,twitter.com/DrCarlosLomeli/status/1710814536758874314,1,0,34,0
twitter.com/DrCarlosLomeli/status/1708663090991009864,2023-10-02 02:00:00.000,0.8303093612194061,0.25029273102269484,0.169289231300354,Aprobacion/Alegria,Enojo/Molestia,Enojo/Molestia,twitter.com/DrCarlosLomeli/status/1708663090991009864,6,5,60,0
twitter.com/DrCarlosLomeli/status/1713697396960514083,2023-10-15 23:24:33.000,0.9362183213233948,0.09099525182028749,0.947627067565918,Mucha Aprobacion/Alegria,Mucho Enojo/Molestia,Mucha Aprobacion/Alegria,twitter.com/DrCarlosLomeli/status/1713697396960514083,5,3,65,0
twitter.com/DrCarlosLomeli/status/1723406510040944640,2023-11-11 18:25:05.000,0.3224144101142883,0.1821190808838142,0.38352438539266587,Enojo/Molestia,Enojo/Molestia,Enojo/Molestia,twitter.com/DrCarlosLomeli/status/1723406510040944640,188,282,502,0
twitter.com/DrCarlosLomeli/status/1709012972570378516,2023-10-03 01:10:19.000,0.6691799163818359,0.05113749656603292,0.1747724413871765,Aprobacion/Alegria,Mucho Enojo/Molestia,Enojo/Molestia,twitter.com/DrCarlosLomeli/status/1709012972570378516,5,3,46,0
twitter.com/DrCarlosLomeli/status/1728497762499797487,2023-11-25 19:35:55.000,0.8800625227964841,0.24390486057423408,0.3147840148363358,Aprobacion/Alegria,Enojo/Molestia,Enojo/Molestia,twitter.com/DrCarlosLomeli/status/1728497762499797487,43,92,188,0
