,TimeStamp,Metric1,Metric2,Metric3,Metric1 Interpretation,Metric2 Interpretation,Metric3 Interpretation,Link,RT,Quotes,Likes,Views
twitter.com/MariaPadillaRom/status/1721601333046726687,2023-11-06 18:51:58.000,0,0,0,0,0,0,twitter.com/MariaPadillaRom/status/1721601333046726687,4,0,26,923
twitter.com/MariaPadillaRom/status/1712114675712704713,2023-10-11 14:35:22.000,0.44406284391880035,0.45285207998135935,0.8908469676971436,Neutral,Neutral,Aprobacion/Alegria,twitter.com/MariaPadillaRom/status/1712114675712704713,5,2,21,624
twitter.com/MariaPadillaRom/status/1734313573831315890,2023-12-11 20:45:52.000,0.4971160089268403,0.5120818751922291,0.7001877602408914,Neutral,Neutral,Aprobacion/Alegria,twitter.com/MariaPadillaRom/status/1734313573831315890,22,17,56,1127
twitter.com/MariaPadillaRom/status/1704664278387536324,2023-09-21 01:10:09.000,0.4971160089268403,0.5120818751922291,0.7001877602408914,Neutral,Neutral,Aprobacion/Alegria,twitter.com/MariaPadillaRom/status/1704664278387536324,0,0,4,233
twitter.com/MariaPadillaRom/status/1709713111001800879,2023-10-04 23:32:25.000,0.4971160089268403,0.5120818751922291,0.7001877602408914,Neutral,Neutral,Aprobacion/Alegria,twitter.com/MariaPadillaRom/status/1709713111001800879,1,0,9,160
twitter.com/MariaPadillaRom/status/1704654457538072743,2023-09-21 00:31:08.000,0.4971160089268403,0.5120818751922291,0.7001877602408914,Neutral,Neutral,Aprobacion/Alegria,twitter.com/MariaPadillaRom/status/1704654457538072743,0,0,3,135
twitter.com/MariaPadillaRom/status/1704648711630926204,2023-09-21 00:08:18.000,0.4971160089268403,0.5120818751922291,0.7001877602408914,Neutral,Neutral,Aprobacion/Alegria,twitter.com/MariaPadillaRom/status/1704648711630926204,1,0,4,262
twitter.com/MariaPadillaRom/status/1705045186194112939,2023-09-22 02:23:45.000,0.4971160089268403,0.5120818751922291,0.7001877602408914,Neutral,Neutral,Aprobacion/Alegria,twitter.com/MariaPadillaRom/status/1705045186194112939,1,0,17,598
twitter.com/MariaPadillaRom/status/1704642094197809359,2023-09-20 23:42:00.000,0.4971160089268403,0.5120818751922291,0.7001877602408914,Neutral,Neutral,Aprobacion/Alegria,twitter.com/MariaPadillaRom/status/1704642094197809359,0,2,2,164
twitter.com/MariaPadillaRom/status/1731858206505206229,2023-12-05 02:09:07.000,0.02234985099898444,0.182966256568243,0.2607524229420556,Mucho Enojo/Molestia,Enojo/Molestia,Enojo/Molestia,twitter.com/MariaPadillaRom/status/1731858206505206229,33,17,72,4046
twitter.com/MariaPadillaRom/status/1719155174529241335,2023-10-31 00:51:48.000,0.02234985099898444,0.182966256568243,0.2607524229420556,Mucho Enojo/Molestia,Enojo/Molestia,Enojo/Molestia,twitter.com/MariaPadillaRom/status/1719155174529241335,2,0,28,606
twitter.com/MariaPadillaRom/status/1729648797087682681,2023-11-28 23:49:43.000,0.823340654373169,0.5718541379795399,0.9818522930145264,Aprobacion/Alegria,Neutral,Mucha Aprobacion/Alegria,twitter.com/MariaPadillaRom/status/1729648797087682681,2,2,22,552
twitter.com/MariaPadillaRom/status/1733277252597526921,2023-12-09 00:07:54.000,0.823340654373169,0.5718541379795399,0.9818522930145264,Aprobacion/Alegria,Neutral,Mucha Aprobacion/Alegria,twitter.com/MariaPadillaRom/status/1733277252597526921,4,0,38,653
twitter.com/MariaPadillaRom/status/1713371218382827661,2023-10-15 01:48:26.000,0.823340654373169,0.5718541379795399,0.9818522930145264,Aprobacion/Alegria,Neutral,Mucha Aprobacion/Alegria,twitter.com/MariaPadillaRom/status/1713371218382827661,1,0,23,640
twitter.com/MariaPadillaRom/status/1735454773208346693,2023-12-15 00:20:35.000,0.823340654373169,0.5718541379795399,0.9818522930145264,Aprobacion/Alegria,Neutral,Mucha Aprobacion/Alegria,twitter.com/MariaPadillaRom/status/1735454773208346693,0,0,0,46
twitter.com/MariaPadillaRom/status/1735413000637759905,2023-12-14 21:34:36.000,0.823340654373169,0.5718541379795399,0.9818522930145264,Aprobacion/Alegria,Neutral,Mucha Aprobacion/Alegria,twitter.com/MariaPadillaRom/status/1735413000637759905,0,0,4,74
twitter.com/MariaPadillaRom/status/1704646878871130399,2023-09-21 00:01:01.000,0.823340654373169,0.5718541379795399,0.9818522930145264,Aprobacion/Alegria,Neutral,Mucha Aprobacion/Alegria,twitter.com/MariaPadillaRom/status/1704646878871130399,0,0,7,234
twitter.com/MariaPadillaRom/status/1730065633616805904,2023-11-30 03:26:04.000,0.21638740804460316,0.12146129315330381,0.3087669379181332,Enojo/Molestia,Enojo/Molestia,Enojo/Molestia,twitter.com/MariaPadillaRom/status/1730065633616805904,53,31,139,6570
twitter.com/MariaPadillaRom/status/1724510430662438983,2023-11-14 19:31:41.000,0.307448410987854,0.0011378609987405012,0.49366578459739685,Enojo/Molestia,Mucho Enojo/Molestia,Neutral,twitter.com/MariaPadillaRom/status/1724510430662438983,15,3,62,2049
twitter.com/MariaPadillaRom/status/1728551713517478289,2023-11-25 23:10:18.000,0.307448410987854,0.0011378609987405012,0.49366578459739685,Enojo/Molestia,Mucho Enojo/Molestia,Neutral,twitter.com/MariaPadillaRom/status/1728551713517478289,0,0,26,692
twitter.com/MariaPadillaRom/status/1732041288688808392,2023-12-05 14:16:37.000,0.307448410987854,0.0011378609987405012,0.49366578459739685,Enojo/Molestia,Mucho Enojo/Molestia,Neutral,twitter.com/MariaPadillaRom/status/1732041288688808392,0,0,5,273
twitter.com/MariaPadillaRom/status/1735765280389820563,2023-12-15 20:54:26.000,0.307448410987854,0.0011378609987405012,0.49366578459739685,Enojo/Molestia,Mucho Enojo/Molestia,Neutral,twitter.com/MariaPadillaRom/status/1735765280389820563,1,0,2,22
twitter.com/MariaPadillaRom/status/1729269408932237594,2023-11-27 22:42:10.000,0.307448410987854,0.0011378609987405012,0.49366578459739685,Enojo/Molestia,Mucho Enojo/Molestia,Neutral,twitter.com/MariaPadillaRom/status/1729269408932237594,5,0,33,851
twitter.com/MariaPadillaRom/status/1709710206047813713,2023-10-04 23:20:52.000,0.49900972843170166,0.31531589888680517,0.9606966972351074,Neutral,Enojo/Molestia,Mucha Aprobacion/Alegria,twitter.com/MariaPadillaRom/status/1709710206047813713,6,3,35,1023
twitter.com/MariaPadillaRom/status/1735003366403559899,2023-12-13 18:26:52.000,0.13386504352092743,0.12538195573669358,0.9990953877568245,Enojo/Molestia,Enojo/Molestia,Mucha Aprobacion/Alegria,twitter.com/MariaPadillaRom/status/1735003366403559899,5,2,28,804
twitter.com/MariaPadillaRom/status/1709722086480949538,2023-10-05 00:08:05.000,0.13386504352092743,0.12538195573669358,0.9990953877568245,Enojo/Molestia,Enojo/Molestia,Mucha Aprobacion/Alegria,twitter.com/MariaPadillaRom/status/1709722086480949538,0,0,7,126
twitter.com/MariaPadillaRom/status/1732182148772208873,2023-12-05 23:36:21.000,0.42465558648109436,0.326025889742148,0.503057986497879,Neutral,Enojo/Molestia,Neutral,twitter.com/MariaPadillaRom/status/1732182148772208873,1,2,5,327
twitter.com/MariaPadillaRom/status/1714833518683922815,2023-10-19 02:39:05.000,0.49789957106113436,0.4661858847241833,0.9757595062255859,Neutral,Neutral,Mucha Aprobacion/Alegria,twitter.com/MariaPadillaRom/status/1714833518683922815,3,2,15,445
twitter.com/MariaPadillaRom/status/1732893545671888980,2023-12-07 22:43:11.000,0.2422978271137584,0.18342911990378627,0.44944407723166724,Enojo/Molestia,Enojo/Molestia,Neutral,twitter.com/MariaPadillaRom/status/1732893545671888980,17,4,41,951
twitter.com/MariaPadillaRom/status/1711212119180357758,2023-10-09 02:48:56.000,0.5347678601741791,0.4865782941643519,0.7932149648666382,Neutral,Neutral,Aprobacion/Alegria,twitter.com/MariaPadillaRom/status/1711212119180357758,2,5,49,1964
twitter.com/MariaPadillaRom/status/1706424511124385857,2023-09-25 21:44:41.000,0.5347678601741791,0.4865782941643519,0.7932149648666382,Neutral,Neutral,Aprobacion/Alegria,twitter.com/MariaPadillaRom/status/1706424511124385857,0,0,9,401
