,TimeStamp,Metric1,Metric2,Metric3,Metric1 Interpretation,Metric2 Interpretation,Metric3 Interpretation,Link,RT,Quotes,Likes,Views
twitter.com/VeroDelgadilloG/status/1729350137565372876,2023-11-28 04:02:57.000,0.9513177786554609,0.09898401171162419,0.6581673409257617,Mucha Aprobacion/Alegria,Mucho Enojo/Molestia,Aprobacion/Alegria,twitter.com/VeroDelgadilloG/status/1729350137565372876,8,5,60,3108
twitter.com/VeroDelgadilloG/status/1713405021146989023,2023-10-15 04:02:45.000,0.5461165229479472,0.2954628488196506,0.5131425460179647,Neutral,Enojo/Molestia,Neutral,twitter.com/VeroDelgadilloG/status/1713405021146989023,3,4,47,1140
twitter.com/VeroDelgadilloG/status/1734452372775288910,2023-12-12 05:57:24.000,0.5461165229479472,0.2954628488196506,0.5131425460179647,Neutral,Enojo/Molestia,Neutral,twitter.com/VeroDelgadilloG/status/1734452372775288910,1,0,6,243
twitter.com/VeroDelgadilloG/status/1732169020978409981,2023-12-05 22:44:11.000,0.6641723960638046,0.22743591458141765,0.2830416113138199,Aprobacion/Alegria,Enojo/Molestia,Enojo/Molestia,twitter.com/VeroDelgadilloG/status/1732169020978409981,6,5,48,1759
twitter.com/VeroDelgadilloG/status/1730691679634821468,2023-12-01 20:53:45.000,0.5007608425617218,0.2614721788989359,0.1647033452987671,Neutral,Enojo/Molestia,Enojo/Molestia,twitter.com/VeroDelgadilloG/status/1730691679634821468,7,8,43,1398
twitter.com/VeroDelgadilloG/status/1730087276552544537,2023-11-30 04:52:04.000,0.4906219953298569,0.15524604278479545,0.5369585633277894,Neutral,Enojo/Molestia,Neutral,twitter.com/VeroDelgadilloG/status/1730087276552544537,17,11,101,2374
twitter.com/VeroDelgadilloG/status/1724952287850950660,2023-11-16 00:47:28.000,0.5949490202797784,0.1334049326628647,0.4109690917862786,Neutral,Enojo/Molestia,Neutral,twitter.com/VeroDelgadilloG/status/1724952287850950660,11,9,67,3973
twitter.com/VeroDelgadilloG/status/1735432937716523322,2023-12-14 22:53:49.000,0.5949490202797784,0.1334049326628647,0.4109690917862786,Neutral,Enojo/Molestia,Neutral,twitter.com/VeroDelgadilloG/status/1735432937716523322,2,0,10,206
twitter.com/VeroDelgadilloG/status/1710305098667094394,2023-10-06 14:44:46.000,0.5949490202797784,0.1334049326628647,0.4109690917862786,Neutral,Enojo/Molestia,Neutral,twitter.com/VeroDelgadilloG/status/1710305098667094394,0,0,6,338
twitter.com/VeroDelgadilloG/status/1727879358881431856,2023-11-24 02:38:36.000,0.7010951638221741,0.2157002345046721,0.8390934559015127,Aprobacion/Alegria,Enojo/Molestia,Aprobacion/Alegria,twitter.com/VeroDelgadilloG/status/1727879358881431856,5,3,25,1147
twitter.com/VeroDelgadilloG/status/1728275112364019733,2023-11-25 04:51:11.000,0.5064536272354846,0.2510591838323888,0.37433828272909486,Neutral,Enojo/Molestia,Enojo/Molestia,twitter.com/VeroDelgadilloG/status/1728275112364019733,29,61,186,13268
twitter.com/VeroDelgadilloG/status/1722388570311430495,2023-11-08 23:00:10.000,0.5064536272354846,0.2510591838323888,0.37433828272909486,Neutral,Enojo/Molestia,Enojo/Molestia,twitter.com/VeroDelgadilloG/status/1722388570311430495,0,0,10,1013
twitter.com/VeroDelgadilloG/status/1730391286514143570,2023-12-01 01:00:06.000,0.9473125537236532,0.48405999844855874,0.3286583423614502,Mucha Aprobacion/Alegria,Neutral,Enojo/Molestia,twitter.com/VeroDelgadilloG/status/1730391286514143570,12,3,50,2120
twitter.com/VeroDelgadilloG/status/1717211621360112032,2023-10-25 16:08:49.000,0.9473125537236532,0.48405999844855874,0.3286583423614502,Mucha Aprobacion/Alegria,Neutral,Enojo/Molestia,twitter.com/VeroDelgadilloG/status/1717211621360112032,0,0,6,243
twitter.com/VeroDelgadilloG/status/1723845901469560986,2023-11-12 23:31:05.000,0.9473125537236532,0.48405999844855874,0.3286583423614502,Mucha Aprobacion/Alegria,Neutral,Enojo/Molestia,twitter.com/VeroDelgadilloG/status/1723845901469560986,2,0,31,1753
twitter.com/VeroDelgadilloG/status/1713773520973619286,2023-10-16 04:27:02.000,0.12668254375457763,0.15772098726068048,0.19646095236142477,Enojo/Molestia,Enojo/Molestia,Enojo/Molestia,twitter.com/VeroDelgadilloG/status/1713773520973619286,5,8,32,1664
