,TimeStamp,Metric1,Metric2,Metric3,Metric1 Interpretation,Metric2 Interpretation,Metric3 Interpretation,Link,RT,Quotes,Likes,Views
twitter.com/_KarlaDiaz_/status/1666854272951271424,2023-06-08 17:06:41.000,0.7088643312454224,5.133727108866488e-09,0.9997208714485168,Aprobacion/Alegria,Mucho Enojo/Molestia,Mucha Aprobacion/Alegria,twitter.com/_KarlaDiaz_/status/1666854272951271424,9,3,21,1349
twitter.com/_KarlaDiaz_/status/1723345653961486634,2023-11-11 14:23:16.000,0.7088643312454224,5.133727108866488e-09,0.9997208714485168,Aprobacion/Alegria,Mucho Enojo/Molestia,Mucha Aprobacion/Alegria,twitter.com/_KarlaDiaz_/status/1723345653961486634,2,0,19,187
twitter.com/_KarlaDiaz_/status/1656494356751081474,2023-05-11 03:00:05.000,0.7308735251426697,0.46127768308170247,0.09018629789352417,Aprobacion/Alegria,Neutral,Mucho Enojo/Molestia,twitter.com/_KarlaDiaz_/status/1656494356751081474,2,0,7,228
twitter.com/_KarlaDiaz_/status/1733881067088576907,2023-12-10 16:07:15.000,0.7308735251426697,0.46127768308170247,0.09018629789352417,Aprobacion/Alegria,Neutral,Mucho Enojo/Molestia,twitter.com/_KarlaDiaz_/status/1733881067088576907,1,0,9,229
twitter.com/_KarlaDiaz_/status/1719054312804938141,2023-10-30 18:11:01.000,0.7308735251426697,0.46127768308170247,0.09018629789352417,Aprobacion/Alegria,Neutral,Mucho Enojo/Molestia,twitter.com/_KarlaDiaz_/status/1719054312804938141,3,0,16,178
twitter.com/_KarlaDiaz_/status/1703540548013896105,2023-09-17 22:44:51.000,0.7308735251426697,0.46127768308170247,0.09018629789352417,Aprobacion/Alegria,Neutral,Mucho Enojo/Molestia,twitter.com/_KarlaDiaz_/status/1703540548013896105,1,0,8,134
twitter.com/_KarlaDiaz_/status/1665064719210762242,2023-06-03 18:35:39.000,0.7308735251426697,0.46127768308170247,0.09018629789352417,Aprobacion/Alegria,Neutral,Mucho Enojo/Molestia,twitter.com/_KarlaDiaz_/status/1665064719210762242,0,0,2,31
twitter.com/_KarlaDiaz_/status/1715125342950633843,2023-10-19 21:58:41.000,0.017684578895568848,0.24895402710817782,0.9891587197780609,Mucho Enojo/Molestia,Enojo/Molestia,Mucha Aprobacion/Alegria,twitter.com/_KarlaDiaz_/status/1715125342950633843,6,2,17,209
twitter.com/_KarlaDiaz_/status/1729562301961757011,2023-11-28 18:06:01.000,0.017684578895568848,0.24895402710817782,0.9891587197780609,Mucho Enojo/Molestia,Enojo/Molestia,Mucha Aprobacion/Alegria,twitter.com/_KarlaDiaz_/status/1729562301961757011,2,0,12,75
twitter.com/_KarlaDiaz_/status/1680982908138582017,2023-07-17 16:48:51.000,0.017684578895568848,0.24895402710817782,0.9891587197780609,Mucho Enojo/Molestia,Enojo/Molestia,Mucha Aprobacion/Alegria,twitter.com/_KarlaDiaz_/status/1680982908138582017,8,0,15,422
twitter.com/_KarlaDiaz_/status/1737544339772121264,2023-12-20 18:43:47.000,0.017684578895568848,0.24895402710817782,0.9891587197780609,Mucho Enojo/Molestia,Enojo/Molestia,Mucha Aprobacion/Alegria,twitter.com/_KarlaDiaz_/status/1737544339772121264,1,0,5,139
twitter.com/_KarlaDiaz_/status/1667540314796752896,2023-06-10 14:32:47.000,0.017684578895568848,0.24895402710817782,0.9891587197780609,Mucho Enojo/Molestia,Enojo/Molestia,Mucha Aprobacion/Alegria,twitter.com/_KarlaDiaz_/status/1667540314796752896,2,0,6,63
