,TimeStamp,Metric1,Metric2,Metric3,Metric1 Interpretation,Metric2 Interpretation,Metric3 Interpretation,Link,RT,Quotes,Likes,Views
twitter.com/chemamtz_/status/1732211507138592904,2023-12-06 01:33:00.000,0.04821428192986382,0.20552455358640753,0.27474026679992675,Mucho Enojo/Molestia,Enojo/Molestia,Enojo/Molestia,twitter.com/chemamtz_/status/1732211507138592904,50,50,96,26538
twitter.com/chemamtz_/status/1735142437390004233,2023-12-14 03:39:29.000,0.022089950740337372,0.038761439854305926,0.38141942024230957,Mucho Enojo/Molestia,Mucho Enojo/Molestia,Enojo/Molestia,twitter.com/chemamtz_/status/1735142437390004233,14,5,41,774
twitter.com/chemamtz_/status/1712254730351657396,2023-10-11 23:51:54.000,0.5090396334727605,0.29368117791981085,0.771156519651413,Neutral,Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1712254730351657396,8,27,48,622
twitter.com/chemamtz_/status/1730233943977259361,2023-11-30 14:34:53.000,0.2895846327145894,0.24084240309294846,0.395585991087414,Enojo/Molestia,Enojo/Molestia,Enojo/Molestia,twitter.com/chemamtz_/status/1730233943977259361,29,24,107,2855
twitter.com/chemamtz_/status/1709699129104847105,2023-10-04 22:36:51.000,0.9372523307800293,0.15527159431095053,0.9223480939865112,Mucha Aprobacion/Alegria,Enojo/Molestia,Mucha Aprobacion/Alegria,twitter.com/chemamtz_/status/1709699129104847105,8,8,30,353
twitter.com/chemamtz_/status/1705345655063945724,2023-09-22 22:17:42.000,0.6516836285591125,0.21971175607400212,0.88069748878479,Aprobacion/Alegria,Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1705345655063945724,10,8,32,690
twitter.com/chemamtz_/status/1710071597737152926,2023-10-05 23:16:55.000,0.8257038354873657,0.28875549199197775,0.666243851184845,Aprobacion/Alegria,Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1710071597737152926,10,7,41,802
twitter.com/chemamtz_/status/1702517841558196460,2023-09-15 03:00:59.000,0.061174980231693814,0.10669599857304564,0.7626755493027824,Mucho Enojo/Molestia,Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1702517841558196460,7,8,25,698
twitter.com/chemamtz_/status/1718444172389036140,2023-10-29 01:46:32.000,0.3368601344880604,0.18148472772090848,0.061263092926570346,Enojo/Molestia,Enojo/Molestia,Mucho Enojo/Molestia,twitter.com/chemamtz_/status/1718444172389036140,6,2,31,713
twitter.com/chemamtz_/status/1724591156430885182,2023-11-15 00:52:27.000,0.28121761083602903,0.2133809664240295,0.39808892011642455,Enojo/Molestia,Enojo/Molestia,Enojo/Molestia,twitter.com/chemamtz_/status/1724591156430885182,10,5,40,1102
twitter.com/chemamtz_/status/1732898158298984509,2023-12-07 23:01:31.000,0.5654545923074087,0.22781443489814543,0.6641978224118551,Neutral,Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1732898158298984509,11,3,30,773
twitter.com/chemamtz_/status/1706105783128031614,2023-09-25 00:38:11.000,0.3290781292048368,0.024269296962324934,0.5851768417791887,Enojo/Molestia,Mucho Enojo/Molestia,Neutral,twitter.com/chemamtz_/status/1706105783128031614,6,3,25,706
twitter.com/chemamtz_/status/1727500340965126393,2023-11-23 01:32:31.000,0.5038548111915588,0.24727059859006498,0.6449680328369141,Neutral,Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1727500340965126393,11,3,27,744
