Coordinates,Exact_Match
,True
"20.6505601,-103.2592249",True
"20.650124,-103.2612969",True
"20.651629,-103.2595924",True
,True
"20.6705078,-103.3128712",False
,True
,True
,True
,True
,True
,True
,True
"20.6420491,-103.4748972",True
,True
,True
"20.6420491,-103.4748972",True
,True
,True
"20.6415224,-103.4751037",False
,True
,True
,True
"21.3553839,-101.9048801",True
"20.6425113,-103.4742438",False
"21.3553864,-101.9061675",True
"20.6425113,-103.4742438",False
,True
"20.6426886,-103.4727784",False
,True
,True
"20.6426886,-103.4727784",False
,True
,True
,True
,True
,True
,True
,True
"21.354859,-101.9081643",False
,True
,True
,True
,True
,True
"20.7475044,-103.3705927",True
,True
,True
,True
,True
"20.7475379,-103.3715842",True
,True
,True
,True
,True
"20.6674922,-103.3138728",False
"20.7457064,-103.3667404",True
,True
,True
,True
,True
,True
,True
,True
,True
,True
,True
,True
,True
,True
,True
,True
,True
,True
,True
,True
,True
"29.1504,-110.9778863",False
,False
,True
,True
,True
,True
,True
,True
,True
"21.354859,-101.9081643",False
,False
,False
,True
,True
,True
,True
,True
,True
,True
,True
,True
,False
,True
"20.7482369,-103.3698898",True
"20.7482863,-103.3698449",True
"20.7483626,-103.3700893",True
,False
"20.7484583,-103.3696868",True
"20.7485875,-103.3704224",True
"20.7484676,-103.369611",True
"20.748272,-103.3689057",True
"20.748037,-103.3688494",True
"20.7481517,-103.3689144",True
"20.7481137,-103.3690483",True
,False
"20.7478101,-103.3692639",True
"20.747782,-103.369418",True
"20.7478581,-103.3696305",True
"20.747817,-103.3691736",True
"20.7474964,-103.3686661",True
"20.7474443,-103.3681064",True
"20.748272,-103.3689057",True
"20.7478379,-103.370969",True
"20.7472448,-103.3671975",True
"20.7476028,-103.3675423",True
"20.747676,-103.3677567",True
"20.7477311,-103.3680567",True
"20.7474918,-103.3690461",True
"20.7474918,-103.3690461",True
"20.7474918,-103.3690461",True
"20.7474356,-103.3684245",True
"20.7474356,-103.3684245",True
"20.7476431,-103.3697473",True
"20.7478027,-103.3709589",True
"20.7478755,-103.3707917",True
"20.7479117,-103.3708777",True
"20.747615,-103.3695217",True
,True
,True
,True
,True
,True
,True
,True
,True
,True
,True
,True
"21.3550905,-101.9087503",True
,True
,True
,True
,True
,True
,True
,True
,True
"20.7114738,-103.2967569",True
"20.6376687,-103.2566047",False
"20.6423545,-103.3070646",False
"20.6763611,-103.3195163",True
"20.6273059,-103.3795358",True
"20.651978,-103.2642131",True
,False
"20.6430279,-103.471669",False
"20.6496507,-103.2693624",False
"20.6496507,-103.2693624",False
"20.6525049,-103.266676",False
"20.6530642,-103.2666293",True
"20.6537293,-103.2672349",True
"20.6536349,-103.2676813",False
"20.6524046,-103.2627636",True
"20.6536527,-103.2633515",True
"20.653786,-103.2641718",False
"20.6527166,-103.2589005",False
,False
"20.6537615,-103.2662205",True
"20.6536527,-103.2633515",True
"28.6973634,-100.5449863",False
"20.6533902,-103.2608883",True
"28.6973634,-100.5449863",False
"20.6496407,-103.2626447",True
"20.6299945,-103.2403935",False
"20.6291585,-103.2402367",False
"20.6542398,-103.2682823",False
"20.6531224,-103.2650267",True
"20.6532506,-103.2654325",True
"20.6536896,-103.2656579",True
"20.6294651,-103.2362236",False
"20.6294651,-103.2362236",False
"20.6504193,-103.2578052",False
"20.6532555,-103.2661704",True
"20.6492287,-103.2606092",True
"20.6537514,-103.2654305",True
"20.6434534,-103.4749434",True
"20.6432837,-103.4749313",True
"20.6437868,-103.474601",True
"20.6422101,-103.4746063",True
"20.6433193,-103.4741667",True
"20.6432596,-103.4739475",True
"20.6432841,-103.4740102",True
,False
"20.653958,-103.2708612",False
"20.643668,-103.4706228",False
"20.6418081,-103.4699096",True
"20.6409697,-103.4703405",True
"20.6268294,-103.4725949",True
"20.653958,-103.2708612",False
"20.6536092,-103.2703724",False
"20.6535621,-103.2695428",False
"20.6535621,-103.2695428",False
"20.6189461,-103.3651517",True
"20.6190029,-103.3649278",True
"20.6190029,-103.3649278",True
"20.6190292,-103.3648009",True
"20.6189236,-103.3643783",True
"20.617948,-103.3655286",True
"20.6178285,-103.3654213",True
"20.6179118,-103.3654008",True
"20.6179315,-103.3637445",True
"20.6352343,-103.2884103",True
"20.6187569,-103.3622821",True
"20.6176811,-103.3636521",True
"20.6346843,-103.2879355",True
"20.6175753,-103.3628266",True
"20.6189461,-103.3651517",True
"20.6340726,-103.2874229",True
"20.6189461,-103.3651517",True
"20.6180631,-103.3653765",True
"20.6179416,-103.3643966",True
,True
"20.6179118,-103.3637743",True
,True
"20.6178843,-103.3631325",True
,True
"20.6178843,-103.3631325",True
"20.6187078,-103.3639476",False
"20.6185163,-103.3632221",True
,True
"20.6185692,-103.3624835",True
"20.6350248,-103.28852",False
"20.6185692,-103.3624835",True
,True
,True
,True
,True
,True
,True
,True
,True
,True
,True
,True
,True
,True
,True
,True
,True
,True
,True
"20.6521878,-103.2652758",False
"20.6359917,-103.292837",True
"20.6359915,-103.2928371",False
"20.6348909,-103.2937411",True
,True
"20.6347074,-103.2936296",True
,False
"20.6345605,-103.2936428",True
"20.6344938,-103.2936203",True
"20.6345967,-103.2939527",True
"20.6344938,-103.2936203",True
"20.6343953,-103.2937461",True
"20.6403734,-103.4719435",True
"20.6343913,-103.2939527",True
"20.6342306,-103.2937089",True
"20.6415274,-103.4703899",True
"20.6362978,-103.2935656",True
"20.6413276,-103.4717345",False
"20.6886354,-103.3236875",False
"20.6886354,-103.3236875",False
"20.6886354,-103.3236875",False
"20.6886354,-103.3236875",False
"20.6886354,-103.3236875",False
,False
"20.6886354,-103.3236875",False
"20.6362309,-103.2929374",True
"20.6886354,-103.3236875",False
"20.6356364,-103.2929319",True
"20.6042886,-103.3486375",False
"20.604465,-103.3486351",False
,True
"20.6356037,-103.2930491",True
"20.604658,-103.3486464",False
,True
"20.6355543,-103.2929683",True
"20.6037796,-103.3480064",False
"20.6033268,-103.3479612",False
,True
,True
,True
"20.6397517,-103.4725814",False
"20.6023139,-103.3477698",False
,True
"20.6039006,-103.3486357",False
,True
"20.6038585,-103.3487372",False
,True
"20.6031811,-103.3486469",False
"20.6419245,-103.4708983",True
,True
"20.6031252,-103.3486648",False
,True
,True
"20.6019278,-103.3481607",False
"20.6404481,-103.4822984",False
"20.601845,-103.3486174",False
"20.6010216,-103.348416",False
"20.640879,-103.4712319",False
"20.6311375,-103.2887758",True
"20.6313359,-103.2892418",True
,True
,True
,True
,True
,True
,True
,True
,True
,False
,True
"21.3652364,-101.9402458",True
,True
,True
,True
,True
,True
,True
,True
,True
,False
,False
,True
,True
"20.7556864,-103.3736266",False
"20.7522083,-103.3783827",True
,True
,True
,True
,True
"20.7522083,-103.3783827",False
,True
,True
,True
,True
"20.7545136,-103.3747359",False
,True
,True
,True
,True
,False
"20.7528635,-103.3753646",True
"21.3548615,-101.9094517",True
,True
,True
,True
,False
,True
"21.3913283,-101.9668963",False
"20.7526117,-103.3761395",True
"21.3556502,-101.9318088",False
,True
"21.3737252,-101.9602152",False
"20.7523232,-103.3766456",True
,True
"21.3913283,-101.9668963",False
,True
"21.3585218,-101.9123319",True
,True
,True
,True
,True
,True
,True
,True
,True
,True
,True
,True
,True
,True
,False
,False
,True
"21.3537418,-101.9038429",True
"20.6721055,-103.3169317",False
"20.6721055,-103.3169317",False
"20.6322314,-103.289686",True
"20.6321641,-103.2893128",True
"20.6324478,-103.2909863",True
"20.6293278,-103.2880824",True
"20.6310108,-103.2890396",True
"20.6309185,-103.289004",True
,True
"20.7573406,-103.3725788",True
"20.7573406,-103.3725788",True
"20.7564865,-103.3727659",True
"20.7559539,-103.3724131",True
"20.7559666,-103.3724095",True
"20.756869,-103.3711837",True
"20.7562323,-103.3716548",True
"20.756869,-103.3711837",True
,False
"20.7554421,-103.3725965",True
,True
,False
"20.7556864,-103.3736266",True
"20.7552673,-103.3736571",True
"20.7524203,-103.3838706",False
,False
"20.7524203,-103.3838706",False
"20.755483,-103.3743915",True
"20.7556262,-103.3741601",True
"20.7524203,-103.3838706",False
"20.7524203,-103.3838706",False
,True
"20.7533453,-103.3737248",True
"20.7475169,-103.3693187",True
"20.7476521,-103.3714374",True
"20.7472456,-103.3687267",True
"20.7474575,-103.369766",False
,False
"20.6210961,-103.4653201",True
"20.6241183,-103.4571678",False
"20.6197976,-103.4617155",True
"20.6217946,-103.4592271",True
"20.6183749,-103.4575616",True
"20.7587906,-103.3906994",False
"20.6241987,-103.4588207",True
"20.6689965,-103.3117443",True
"20.6191042,-103.4583465",True
"20.6689965,-103.3117443",True
"20.6680325,-103.3115722",True
"20.6680325,-103.3115722",True
"20.6552408,-103.2664261",True
"20.6682099,-103.3113468",False
"20.6682099,-103.3113468",False
"20.6687456,-103.3114816",False
"20.6687456,-103.3114816",False
"20.655295,-103.2663598",True
"20.6700639,-103.3113722",True
"20.641016,-103.4742454",False
"20.6487675,-103.4623352",False
"20.6434506,-103.4782969",True
"20.6412367,-103.4719972",True
,False
"20.6390709,-103.4756104",True
"20.6427344,-103.4535396",True
"20.6404329,-103.473933",True
"20.6207713,-103.458621",False
"20.6462341,-103.4736947",True
"20.655134,-103.4543418",True
,False
"20.655134,-103.4543418",True
"20.6428251,-103.4746239",True
,True
"20.6429303,-103.4744129",True
"20.642873,-103.4746184",True
"20.6417025,-103.4613801",False
"20.6436073,-103.4740062",True
"20.6325065,-103.2883948",True
"20.6434555,-103.4483903",True
,True
"20.6461808,-103.4573545",True
"20.6747352,-103.3418251",False
"20.6410387,-103.4717783",True
"20.6329227,-103.291493",True
,True
"20.6475274,-103.4563498",True
,True
"20.6393692,-103.4721745",True
"20.6747352,-103.3418251",False
"20.6446956,-103.45575",True
"20.6328979,-103.289167",True
"21.3548615,-101.9094517",True
"20.6404961,-103.4730749",True
"20.6770361,-103.3196931",False
,True
"20.6524824,-103.4549024",True
"20.6771336,-103.3196044",False
,True
"20.6337809,-103.2888451",True
"20.6407513,-103.4724819",True
,True
"20.6428012,-103.4721461",True
,True
"20.6720955,-103.3235189",False
"20.6332466,-103.28806",True
"20.6410463,-103.4734278",False
,True
,False
,False
,True
,True
"20.6328601,-103.2877",True
,True
