Categoria,Titulo,Enlace,Precio,Vendedor
Laptops,No disponible,https://www.amazon.com.mxNo disponible,No disponible,No encontrado
Laptops,"Acer 2023 Aspire 1 Slim Laptop, visualización Full HD de 15.6 pulgadas, memoria de 16 GB, almacenamiento SSD de 1 TB, procesador Intel de doble núcleo, puerto Ethernet, HDMI, tipo C, Windows 11 Home S, 1 año Microsoft 365 incluido",https://www.amazon.com.mx/sspa/click?ie=UTF8&spc=MToxMDU3NTQyNjA5MjQ5MDM2OjE3MDcyMzE0MTM6c3BfYXRmX2Jyb3dzZTozMDAwMjMyMzMwMjk4MDI6OjA6Og&url=%2FAcer-Aspire-visualizaci%25C3%25B3n-almacenamiento-procesador%2Fdp%2FB0CCG5TB57%2Fref%3Dsr_1_1%3Fqid%3D1707231413%26s%3Dcomputers%26sr%3D1-1-spons%26ufe%3Dapp_do%253Aamzn1.fos.4e545b5e-1d45-498b-8193-a253464ffa47%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,"$7,949.68",Amazon
Laptops,"HP Portátil de 15.6 pulgadas, procesador Intel Core i3-1115G4, gráficos Intel UHD, visualización LED HD de 15.6 pulgadas, listo para reuniones en línea, Wi-Fi y Bluetooth, HDMI, Windows 11 Home en modo S (16 GB de RAM | 1 TB SSD)",https://www.amazon.com.mx/sspa/click?ie=UTF8&spc=MToxMDU3NTQyNjA5MjQ5MDM2OjE3MDcyMzE0MTM6c3BfYXRmX2Jyb3dzZTozMDAwMTg3OTk5ODE3MDI6OjA6Og&url=%2FHP-procesador-i3-1115G4-visualizaci%25C3%25B3n-reuniones%2Fdp%2FB0BQNC1Y4V%2Fref%3Dsr_1_2%3Fqid%3D1707231413%26s%3Dcomputers%26sr%3D1-2-spons%26ufe%3Dapp_do%253Aamzn1.fos.4e545b5e-1d45-498b-8193-a253464ffa47%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,"$9,248.69",Amazon
Laptops,"HP Portátil Diagonal Full HD de 15.6 Pulgadas (1920 x 1080), procesador Intel Core i5-1135G7 de 11ª generación, 8GB DDR4 RAM, 256GB SSD, 802.11ac, Bluetooth, HDMI, Windows 11",https://www.amazon.com.mx/sspa/click?ie=UTF8&spc=MToxMDU3NTQyNjA5MjQ5MDM2OjE3MDcyMzE0MTM6c3BfYXRmX2Jyb3dzZTozMDAxMTU3ODA0OTk0MDI6OjA6Og&url=%2FHP-procesador-i5-1135G7-generaci%25C3%25B3n-Bluetooth%2Fdp%2FB09LM6SZKG%2Fref%3Dsr_1_3%3Fqid%3D1707231413%26s%3Dcomputers%26sr%3D1-3-spons%26ufe%3Dapp_do%253Aamzn1.fos.4e545b5e-1d45-498b-8193-a253464ffa47%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,"$8,199.00",Amazon
Laptops,"MSI Thin GF63 15.6"" Gaming Laptop: 12th Gen Intel Core i7, NVIDIA GeForce RTX 4060,16GB DDR4, 512GB NVMe SSD, Type-C, Cooler Boost 5, Win11 Home: Black THINGF6312436",https://www.amazon.com.mx/gp/bestsellers/electronics/24088202011/ref=sr_bs_3_24088202011_1,"$22,558.20",No encontrado
Laptops,"HP Laptop 15-ef2507la, AMD Ryzen 5, 8 GB, 512 GB SSD, 15.6, HD, Windows 11, Teclado en Español, Garantía México, Plateado Natural",https://www.amazon.com.mx/HP-15-ef2507la-Windows-Garant%C3%ADa-Plateado/dp/B0CJG23QR3/ref=sr_1_5?qid=1707231413&s=computers&sr=1-5&ufe=app_do%3Aamzn1.fos.a9e70178-7411-4f75-8d83-e6796a165895,"$9,763.72",Amazon México
Laptops,"ASUS Laptop Gamer ROG Strix G16 (2023), 16 Pulgadas, 16:10 FHD 165 Hz, GeForce RTX 4060, Intel Core i7-13650HX, DDR5 de 16 GB, PCIe SSD de 512 GB, Wi-Fi 6E, Windows 11, G614JV-AS73, Gris Eclipse",https://www.amazon.com.mx/Asus-Laptop-Gamer-Strix-Pulgadas/dp/B0BV8H8HVD/ref=sr_1_6?qid=1707231413&s=computers&sr=1-6&ufe=app_do%3Aamzn1.fos.4e545b5e-1d45-498b-8193-a253464ffa47,"$32,950.00",Tekno Electronicos
Laptops,"HP Laptop 14-em0001la, AMD Ryzen 3, 8 GB, 256 GB SSD, 14, FHD, Windows 11, Teclado en Español, Garantía México, Azul Lunar",https://www.amazon.com.mx/HP-14-em0001la-Windows-Teclado-Garant%C3%ADa/dp/B0CJVT6RMB/ref=sr_1_7?qid=1707231413&s=computers&sr=1-7&ufe=app_do%3Aamzn1.fos.a9e70178-7411-4f75-8d83-e6796a165895,"$7,393.15",Amazon México
Laptops,"HP Laptop 15-ef2500la, AMD Ryzen 7, 16 GB, 512 GB SSD, 15.6, HD, Windows 11 Home, Teclado en Español, Garantía México",https://www.amazon.com.mx/HP-15-ef2500la-Windows-Teclado-Garant%C3%ADa/dp/B0CJHFPHGB/ref=sr_1_8?qid=1707231413&s=computers&sr=1-8&ufe=app_do%3Aamzn1.fos.a9e70178-7411-4f75-8d83-e6796a165895,"$12,234.51",Amazon México
Laptops,"HUAWEI Laptop Thin & Light MateBook D 16(Garantía en México) Intel 12th Core i5-12450H 16GB+512GB Win11, Type-C Fast Charging, Fingerprint + Regalo Watch GT Cyber",https://www.amazon.com.mx/HUAWEI-MateBook-Garant%C3%ADa-i5-12450H-Fingerprint/dp/B0CPDLGH6V/ref=sr_1_9?qid=1707231413&s=computers&sr=1-9&ufe=app_do%3Aamzn1.fos.a9e70178-7411-4f75-8d83-e6796a165895,"$14,799.00",Amazon México
Laptops,"HUAWEI MateBook D 15 2023 – Laptop de 15.6” FHD, Procesador 11.5th Intel Core i5, 16GB RAM + 512GB SSD, Windows 11, con Fast Charging de 65 W, Botón de Huella Digital, Plata, Teclado en español",https://www.amazon.com.mx/HUAWEI-MateBook-15-2023-Procesador/dp/B0BSNYVRHM/ref=sr_1_10?qid=1707231413&s=computers&sr=1-10&ufe=app_do%3Aamzn1.fos.a9e70178-7411-4f75-8d83-e6796a165895,"$13,199.00",Amazon México
Laptops,"Acer Laptop Aspire 5, Ryzen 7, 8 GB, 512 GB SSD, Pantalla 15.6"" FHD",https://www.amazon.com.mx/Acer-Laptop-Aspire-Ryzen-Pantalla/dp/B0CJZM44WN/ref=sr_1_11?qid=1707231413&s=computers&sr=1-11&ufe=app_do%3Aamzn1.fos.a9e70178-7411-4f75-8d83-e6796a165895,"$11,999.00",Amazon México
Laptops,Asus Vivobook Go 15/E1504GA-NJ335W/Intel Ci3-8 Nucleos/8GB Ram/Resistencia Grado Militar/Incluye Mochila y Mouse/Teclado en Español y Garantia en México,https://www.amazon.com.mx/Asus-Vivobook-E1504GA-NJ335W-Resistencia-Garantia/dp/B0CJL7B6C5/ref=sr_1_12?qid=1707231413&s=computers&sr=1-12&ufe=app_do%3Aamzn1.fos.8c7b929b-80a3-4a0f-851f-6de37ce634c2,"$7,317.95",Amazon México
Laptops,"Dell Latitude 5590 Business portátil de 15,6 pulgadas HD, Intel Core 8 Gen i5 8250U Quad Core 8 GB DDR4 256 GB SSD Win 10 Pro (Reacondicionado)",https://www.amazon.com.mx/sspa/click?ie=UTF8&spc=MToxMDU3NTQyNjA5MjQ5MDM2OjE3MDcyMzE0MTM6c3BfbXRmX2Jyb3dzZTozMDAwODk2ODkwMTczMDI6OjA6Og&url=%2FDell-Latitude-Business-Port%25C3%25A1til-Certificado%2Fdp%2FB07FN6B1SV%2Fref%3Dsr_1_13%3Fqid%3D1707231413%26s%3Dcomputers%26sr%3D1-13-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,"$5,199.00",Amazon
Laptops,"Lenovo Legion Ultimate Gaming Laptop, visualización FHD IPS de 17.3 pulgadas, GeForce RTX 2070 Max-Q, Intel i7-9750H de 6 núcleos, teclado retroiluminado RGB, Wi-Fi asesino, Windows 11 (32 GB RAM | 1 TB PCIe SSD)",https://www.amazon.com.mx/sspa/click?ie=UTF8&spc=MToxMDU3NTQyNjA5MjQ5MDM2OjE3MDcyMzE0MTM6c3BfbXRmX2Jyb3dzZToyMDAxNjg3NDY1ODgxOTg6OjA6Og&url=%2FLenovo-Legion-Ultimate-visualizaci%25C3%25B3n-retroiluminado%2Fdp%2FB0C228P74P%2Fref%3Dsr_1_14%3Fqid%3D1707231413%26s%3Dcomputers%26sr%3D1-14-spons%26ufe%3Dapp_do%253Aamzn1.fos.4e545b5e-1d45-498b-8193-a253464ffa47%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,"$35,613.13",Amazon
Laptops,"Dell Precision 3541 15.6"" FHD, Core i7-9850H 2,6 GHz, 16 GB, 512 GB NVMe, NVIDEA Quadro P620 4 GB, Win 10 Pro (reacondicionado)",https://www.amazon.com.mx/sspa/click?ie=UTF8&spc=MToxMDU3NTQyNjA5MjQ5MDM2OjE3MDcyMzE0MTM6c3BfbXRmX2Jyb3dzZTozMDAwODk2MDI2MzA5MDI6OjA6Og&url=%2FDell-Precision-i7-9850H-2-6GHz-renovado%2Fdp%2FB08M495FM4%2Fref%3Dsr_1_15%3Fqid%3D1707231413%26s%3Dcomputers%26sr%3D1-15-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,"$9,437.38",Amazon
Laptops,"Dell Latitude 7280 Laptop PC, no táctil, procesador Intel i5 2.40GHz, 16 GB RAM DDR4, unidad de estado sólido M.2 de 512 GB, HDMI, cámara web, WiFi y Bluetooth, Windows 10 Pro (Reacondicionado)",https://www.amazon.com.mx/gp/bestsellers/amazon-renewed/16880760011/ref=sr_bs_15_16880760011_1,"$4,218.75",No encontrado
