@user542697381771,1-30,5,Can you see the card?
@lancheroserick,1-27,4,JAJAJAJA yo los veo siempre :(
@ipr_zor00,2-5,1,eu te connheço bem
@boragkcek01,2-2,1,ı think ı see you somewhere
@holly_wsp,2-6,0,Your so pretty
@life.is.not._.fair,2-6,0,PH ?????????:?????????
@vietnamese_extremist,2-6,0,She looks familiar
@bankai9910,2-5,0,Wath is ur insta?
@siyahibeyfendi1,1-30,0,ahmet kaya'ya benziyorsun😍
@baddie_enthusiast,1-24,1,🗿
@beanflippedd,1-30,0,😂😂😂😂😙
@selkyrafg,1-26,0,😄
@lf7zin.xpzin,1-30,0,Kk
@cleber.rios,1-23,0,up
@jessica.bringel,1-23,0,up
@qizilbilet43647,1-31,1,wtf
@user9098712142591,Hace 48 min,30,"Gracias Sra Bullrich,yo estoy absoluta segura que es así en el año 2016 le dejaron de entregar el medicamento oncológico a mi hermana,por qué usaron los recursos para la campaña del Sr. Sioli entonces"
@isabelrobledo17,Hace 40 min,30,siempre fue así el que cobra plan tiene que asistir a las marchas y si no chau...
@andymoraleess,Hace 1 h,50,Gracias @Patricia Bullrich por el.empuje y calma que estas transmitiendo hoy 💙💙👏👏👏
@laabuelabellaca52,Hace 53 min,19,Mi capacidad de Asombro no se agota
@juancarlosvivasra,Hace 45 min,1,en Venezuela pasa igual 😒
@oscarcastro6505,Hace 55 min,35,QUEREMOS JUSTICIA SEÑORA !!!!
@rosanaquique,Hace 44 min,2,Justicia por favor ....no pueden quedar impune ....
@lome728,Hace 42 min,2,terrible vamos Bullrich a poner en orden todo este desastre
@marimar2018,Hace 51 min,1,La vida es un Boomerang!
@santinno_real,Hace 55 min,1,Hasta cuando seguirán sometiendo a la población laburantes estos sindicalistas es increíble que sigan en esas
@lujan_antonia,Hace 53 min,1,señora justicia como sea
@isabelrobledo17,Hace 39 min,2,lamentablemente los nesecitados no tienen otra opcion
@adrianafunes57,Hace 20 min,1,Dios te Bendiga Patricia!!!!GRACIAS SRA !!!👏👏👏👏🙏🏻
@jonatan.1ar,Hace 21 min,1,ellos decían que el gobierno no les daba los remedios 😡
@arivaramo,Hace 51 min,0,el gobierno no esta dando remedio es lo mismo
@oski2738,Hace 50 min,0,🍷🍷🍷
@claudia_ana08,Hace 22 min,0,😳😳😳😳😳😳😳😳😳
@duyanescalante,Hace 53 min,0,😔😔😔😔
@liliana.wroblewsk,Hace 55 min,2,que barbaridad!!
@mikewilliams0128,Hace 48 min,1,"es q es la unica manera en q tienen poder, como siempre en base a amenazas con la quita de lo q le dan."
@monicaaloy8,Hace 1 h,13,"que esperan para meterlos en cana?
...no entiendo."
@xakitox_,Hace 58 min,4,es por la culpa de milei 😡😡
@johnnychok,Hace 1 h,12,todo es cierto o vas a la marcha o no cobras
@gabriela13874,Hace 56 min,3,Son de terror 😱
@yo.candace13,Hace 52 min,0,ustedes libertos YA QUITARON SUBSIDIO AL GARRAHAN.miles de niños hay ahí y no les importa
@elnonohugo,Hace 49 min,2,"JUSTICIA
PRESOS YA"
@locrero2.0,Hace 4 min,0,Como puedo denunciar porque me obligan ir ala marcha ??
@gus_caceres2024,Hace 8 min,0,x eso Patricia saca eso dirigentes chorros
@dyx70wbk3fsg,Hace 14 min,0,Presos ya
@sbt5205,Hace 14 min,0,Es terrible!
@yanel84,Hace 29 min,0,"Mi mamá era de BARRIOS DE PIE,ya falleció PERO HASTA CUANDO YA ESTABA EN LAS ÚLTIMAS VENÍAN LAS PUNTERAS BOLIVIANAS A PEDIRLE EL % DE SU PLAN SI O SI"
