Categoría,Subcategoría,Enlace
Categoría 26,Accesorios de Viaje,https://www.amazon.com.mx/gp/browse.html?node=14093018011&ref_=nav_em__travel_0_2_21_2
Categoría 26,Bolsas,https://www.amazon.com.mx/gp/browse.html?node=14093019011&ref_=nav_em__bags_0_2_21_3
Categoría 26,"Carteras, Accesorios para Bolsas y Bolsillos",https://www.amazon.com.mx/gp/browse.html?node=14093020011&ref_=nav_em__wallets_0_2_21_4
Categoría 26,Maletas y Bolsas de Viaje,https://www.amazon.com.mx/gp/browse.html?node=14093021011&ref_=nav_em__luggagebags_0_2_21_5
Categoría 26,Mochilas y Accesorios de Mochilas,https://www.amazon.com.mx/gp/browse.html?node=14093022011&ref_=nav_em__backpacks_0_2_21_6
Categoría 26,"Todo en Bolsas, Maletas y Accesorios de Viaje",https://www.amazon.com.mx/gp/browse.html?node=14093001011&ref_=nav_em__allluggage_0_2_21_7
Categoría 27,Hecho a Mano,https://www.amazon.com.mx/gp/browse.html?node=16566964011&ref_=nav_em__HM_Home_0_2_22_2
Categoría 27,Joyería,https://www.amazon.com.mx/gp/browse.html?node=16945234011&ref_=nav_em__HM_Jewelry_0_2_22_3
Categoría 27,"Ropa, Zapatos y Accesorios",https://www.amazon.com.mx/gp/browse.html?node=16945237011&ref_=nav_em__HM_accessories_0_2_22_4
Categoría 27,Decoración para el hogar,https://www.amazon.com.mx/gp/browse.html?node=16945295011&ref_=nav_em__HM_homedecor_0_2_22_5
Categoría 27,Obras de arte y material decorativo,https://www.amazon.com.mx/gp/browse.html?node=16945297011&ref_=nav_em__HM_artwork_0_2_22_6
Categoría 27,Papelería y Suministros para Fiesta,https://www.amazon.com.mx/gp/browse.html?node=16945236011&ref_=nav_em__HM_stationery_0_2_22_7
Categoría 27,Cocina y Comedor,https://www.amazon.com.mx/gp/browse.html?node=16945294011&ref_=nav_em__HM_kitchen_0_2_22_8
Categoría 27,Muebles,https://www.amazon.com.mx/gp/browse.html?node=16945296011&ref_=nav_em__HM_furniture_0_2_22_9
Categoría 27,Bebé,https://www.amazon.com.mx/gp/browse.html?node=16945230011&ref_=nav_em__HM_baby_0_2_22_10
Categoría 27,Juguetes y Juegos,https://www.amazon.com.mx/gp/browse.html?node=16945235011&ref_=nav_em__HM_toysgames_0_2_22_11
Categoría 27,Vende en Hecho a mano,https://services.amazon.com.mx/handmade.html?ld=AZUSHND_HM_amz_directory&ref_=nav_em_0_2_22_12
Categoría 27,Hecho a mano en México,https://www.amazon.com.mx/gp/browse.html?node=17277698011&ref_=nav_em__HM_mi_mexico_0_2_22_14
Categoría 28,Fútbol,https://www.amazon.com.mx/gp/browse.html?node=9788628011&ref_=nav_em__soccer_0_2_23_2
Categoría 28,Fitness,https://www.amazon.com.mx/gp/browse.html?node=9788432011&ref_=nav_em__fitness_0_2_23_3
Categoría 28,Running,https://www.amazon.com.mx/gp/browse.html?node=9790484011&ref_=nav_em__running_0_2_23_4
Categoría 28,Ciclismo,https://www.amazon.com.mx/gp/browse.html?node=9784530011&ref_=nav_em__cycling_0_2_23_5
Categoría 28,Campismo,https://www.amazon.com.mx/gp/browse.html?node=9783688011&ref_=nav_em__camping_0_2_23_6
Categoría 28,Golf,https://www.amazon.com.mx/gp/browse.html?node=9788807011&ref_=nav_em__golf_0_2_23_7
Categoría 28,Box,https://www.amazon.com.mx/gp/browse.html?node=9784332011&ref_=nav_em__box_0_2_23_8
Categoría 28,Pesca,https://www.amazon.com.mx/gp/browse.html?node=9790189011&ref_=nav_em__fishing_0_2_23_9
Categoría 28,Deportes Acuáticos,https://www.amazon.com.mx/gp/browse.html?node=9785900011&ref_=nav_em__watersports_0_2_23_10
Categoría 28,Todo en Deportes y Aire Libre,https://www.amazon.com.mx/gp/browse.html?node=9482660011&ref_=nav_em__allsports_0_2_23_11
Categoría 29,Cuidado Personal,https://www.amazon.com.mx/gp/browse.html?node=9482611011&ref_=nav_em__personal_care_0_2_24_2
