Categoría,Subcategoría,Enlace
Categoría 16,Laptops,https://www.amazon.com.mx/gp/browse.html?node=10189669011&ref_=nav_em__laptop_0_2_11_2
Categoría 16,Tablets,https://www.amazon.com.mx/gp/browse.html?node=10189676011&ref_=nav_em__tablets_0_2_11_3
Categoría 16,Computadoras de Escritorio,https://www.amazon.com.mx/gp/browse.html?node=10189661011&ref_=nav_em__desktop_0_2_11_4
Categoría 16,Monitores,https://www.amazon.com.mx/gp/browse.html?node=10189670011&ref_=nav_em__monitor_0_2_11_5
Categoría 16,Componentes,https://www.amazon.com.mx/gp/browse.html?node=10189659011&ref_=nav_em__component_0_2_11_6
Categoría 16,Almacenamiento,https://www.amazon.com.mx/gp/browse.html?node=10189663011&ref_=nav_em__software_0_2_11_7
Categoría 16,Dispositivos para Redes,https://www.amazon.com.mx/gp/browse.html?node=10189672011&ref_=nav_em__networking_0_2_11_8
Categoría 16,Software,https://www.amazon.com.mx/gp/browse.html?node=9482690011&ref_=nav_em__software_0_2_11_9
Categoría 16,Accesorios,https://www.amazon.com.mx/gp/browse.html?node=10189658011&ref_=nav_em__pc_accesories_0_2_11_10
Categoría 16,Todo en Cómputo y Tabletas,https://www.amazon.com.mx/gp/browse.html?node=9687880011&ref_=nav_em__all_computer_tablets_0_2_11_11
