Barrio,Titulo,Sup. Terreno,Frente,Contrafrente,Lat Derecho,Lat Izquierdo,LFI,LIB,Zonificacion,Mixtura Usos,Alt. Max.,Cant. Pisos,Sup. Vendible,Sup. Edif. Cub.,Precio,Plusvalia
Agronomia,SAN MARTIN 4382,248.18m2,8.71m,8.70m,28.55m,28.47m,No Alcanzada,m,USAA  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,1412.69m2,,U$S  378.000,PLUSVALIA  U$S 0
Almagro,"SALGUERO, JERONIMO 192",1885.08m2,34.15m,34.15m,55.24m,55.16m,27.30 m,36.41 m,CM  (Codigo Anterior : C3I - FOT: 4),MIXTURA  2,,PB + 10 PISOS + 2 RETIROS,10067.35m2,,U$S  390.000,PLUSVALIA  U$S 45.414
Almagro,SANCHEZ DE BUSTAMANTE 855,1885.08m2,34.15m,34.15m,55.24m,55.16m,27.30 m,36.41 m,CM  (Codigo Anterior : C3I - FOT: 4),MIXTURA  2,,PB + 10 PISOS + 2 RETIROS,10067.35m2,,U$S  390.000,PLUSVALIA  U$S 45.414
Almagro,BOGADO  4461,1885.08m2,34.15m,34.15m,55.24m,55.16m,27.30 m,36.41 m,CM  (Codigo Anterior : C3I - FOT: 4),MIXTURA  2,,PB + 10 PISOS + 2 RETIROS,10067.35m2,,U$S  390.000,PLUSVALIA  U$S 45.414
Almagro,Guardia Vieja 3786,1885.08m2,34.15m,34.15m,55.24m,55.16m,27.30 m,36.41 m,CM  (Codigo Anterior : C3I - FOT: 4),MIXTURA  2,,PB + 10 PISOS + 2 RETIROS,10067.35m2,,U$S  390.000,PLUSVALIA  U$S 45.414
Almagro,MAZA 562,1885.08m2,34.15m,34.15m,55.24m,55.16m,27.30 m,36.41 m,CM  (Codigo Anterior : C3I - FOT: 4),MIXTURA  2,,PB + 10 PISOS + 2 RETIROS,10067.35m2,,U$S  390.000,PLUSVALIA  U$S 45.414
Almagro,LAMBARE 842/ 850,1885.08m2,34.15m,34.15m,55.24m,55.16m,27.30 m,36.41 m,CM  (Codigo Anterior : C3I - FOT: 4),MIXTURA  2,,PB + 10 PISOS + 2 RETIROS,10067.35m2,,U$S  390.000,PLUSVALIA  U$S 45.414
Almagro,VENEZUELA 3548,1885.08m2,34.15m,34.15m,55.24m,55.16m,27.30 m,36.41 m,CM  (Codigo Anterior : C3I - FOT: 4),MIXTURA  2,,PB + 10 PISOS + 2 RETIROS,10067.35m2,,U$S  390.000,PLUSVALIA  U$S 45.414
Almagro,RIVADAVIA 4144,1885.08m2,34.15m,34.15m,55.24m,55.16m,27.30 m,36.41 m,CM  (Codigo Anterior : C3I - FOT: 4),MIXTURA  2,,PB + 10 PISOS + 2 RETIROS,10067.35m2,,U$S  390.000,PLUSVALIA  U$S 45.414
Almagro,VIRREY LINIERS 177,1885.08m2,34.15m,34.15m,55.24m,55.16m,27.30 m,36.41 m,CM  (Codigo Anterior : C3I - FOT: 4),MIXTURA  2,,PB + 10 PISOS + 2 RETIROS,10067.35m2,,U$S  390.000,PLUSVALIA  U$S 45.414
Almagro,BILLINGHURST 287,1885.08m2,34.15m,34.15m,55.24m,55.16m,27.30 m,36.41 m,CM  (Codigo Anterior : C3I - FOT: 4),MIXTURA  2,,PB + 10 PISOS + 2 RETIROS,10067.35m2,,U$S  390.000,PLUSVALIA  U$S 45.414
Almagro,POTOSI 3824,1885.08m2,34.15m,34.15m,55.24m,55.16m,27.30 m,36.41 m,CM  (Codigo Anterior : C3I - FOT: 4),MIXTURA  2,,PB + 10 PISOS + 2 RETIROS,10067.35m2,,U$S  390.000,PLUSVALIA  U$S 45.414
Almagro,Gascon 670,1885.08m2,34.15m,34.15m,55.24m,55.16m,27.30 m,36.41 m,CM  (Codigo Anterior : C3I - FOT: 4),MIXTURA  2,,PB + 10 PISOS + 2 RETIROS,10067.35m2,,U$S  390.000,PLUSVALIA  U$S 45.414
Almagro,BILLINGHURST 45,1885.08m2,34.15m,34.15m,55.24m,55.16m,27.30 m,36.41 m,CM  (Codigo Anterior : C3I - FOT: 4),MIXTURA  2,,PB + 10 PISOS + 2 RETIROS,10067.35m2,,U$S  390.000,PLUSVALIA  U$S 45.414
