Barrio,Titulo,Sup. Terreno,Frente,Contrafrente,Lat Derecho,Lat Izquierdo,LFI,LIB,Zonificacion,Mixtura Usos,Alt. Max.,Cant. Pisos,Sup. Vendible,Sup. Edif. Cub.,Precio,Plusvalia,Factibilidad
Agronomia,SAN MARTIN 4382,248.18m2,8.71m,8.70m,28.55m,28.47m,No Alcanzada,m,USAA  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,1412.69m2,,U$S  378.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/707
Almagro,VIRREY LINIERS 177,404.20m2,9m,9.3m,43.15m,45.20m,18.40 m,24.53 m,CA  (Codigo Anterior : C3I - FOT: 4),MIXTURA 4,,PB + 12 PISOS + 2 RETIROS,2098.17m2,,U$S  1.200.000,PLUSVALIA  U$S 107.373,https://lideresenterrenos.com.ar/estudioTerreno/1053
Almagro,VENEZUELA 3548,404.20m2,9m,9.3m,43.15m,45.20m,18.40 m,24.53 m,CA  (Codigo Anterior : C3I - FOT: 4),MIXTURA 4,,PB + 12 PISOS + 2 RETIROS,2098.17m2,,U$S  1.200.000,PLUSVALIA  U$S 107.373,https://lideresenterrenos.com.ar/estudioTerreno/1053
Almagro,POTOSI 3824,404.20m2,9m,9.3m,43.15m,45.20m,18.40 m,24.53 m,CA  (Codigo Anterior : C3I - FOT: 4),MIXTURA 4,,PB + 12 PISOS + 2 RETIROS,2098.17m2,,U$S  1.200.000,PLUSVALIA  U$S 107.373,https://lideresenterrenos.com.ar/estudioTerreno/1053
Almagro,BILLINGHURST 287,404.20m2,9m,9.3m,43.15m,45.20m,18.40 m,24.53 m,CA  (Codigo Anterior : C3I - FOT: 4),MIXTURA 4,,PB + 12 PISOS + 2 RETIROS,2098.17m2,,U$S  1.200.000,PLUSVALIA  U$S 107.373,https://lideresenterrenos.com.ar/estudioTerreno/1053
Almagro,Guardia Vieja 3786,404.20m2,9m,9.3m,43.15m,45.20m,18.40 m,24.53 m,CA  (Codigo Anterior : C3I - FOT: 4),MIXTURA 4,,PB + 12 PISOS + 2 RETIROS,2098.17m2,,U$S  1.200.000,PLUSVALIA  U$S 107.373,https://lideresenterrenos.com.ar/estudioTerreno/1053
Almagro,"SALGUERO, JERONIMO 192",404.20m2,9m,9.3m,43.15m,45.20m,18.40 m,24.53 m,CA  (Codigo Anterior : C3I - FOT: 4),MIXTURA 4,,PB + 12 PISOS + 2 RETIROS,2098.17m2,,U$S  1.200.000,PLUSVALIA  U$S 107.373,https://lideresenterrenos.com.ar/estudioTerreno/1053
Almagro,BILLINGHURST 45,404.20m2,9m,9.3m,43.15m,45.20m,18.40 m,24.53 m,CA  (Codigo Anterior : C3I - FOT: 4),MIXTURA 4,,PB + 12 PISOS + 2 RETIROS,2098.17m2,,U$S  1.200.000,PLUSVALIA  U$S 107.373,https://lideresenterrenos.com.ar/estudioTerreno/1053
Almagro,SANCHEZ DE BUSTAMANTE 855,404.20m2,9m,9.3m,43.15m,45.20m,18.40 m,24.53 m,CA  (Codigo Anterior : C3I - FOT: 4),MIXTURA 4,,PB + 12 PISOS + 2 RETIROS,2098.17m2,,U$S  1.200.000,PLUSVALIA  U$S 107.373,https://lideresenterrenos.com.ar/estudioTerreno/1053
Almagro,LAMBARE 842/ 850,404.20m2,9m,9.3m,43.15m,45.20m,18.40 m,24.53 m,CA  (Codigo Anterior : C3I - FOT: 4),MIXTURA 4,,PB + 12 PISOS + 2 RETIROS,2098.17m2,,U$S  1.200.000,PLUSVALIA  U$S 107.373,https://lideresenterrenos.com.ar/estudioTerreno/1053
Almagro,BOGADO  4461,404.20m2,9m,9.3m,43.15m,45.20m,18.40 m,24.53 m,CA  (Codigo Anterior : C3I - FOT: 4),MIXTURA 4,,PB + 12 PISOS + 2 RETIROS,2098.17m2,,U$S  1.200.000,PLUSVALIA  U$S 107.373,https://lideresenterrenos.com.ar/estudioTerreno/1053
Almagro,MAZA 562,404.20m2,9m,9.3m,43.15m,45.20m,18.40 m,24.53 m,CA  (Codigo Anterior : C3I - FOT: 4),MIXTURA 4,,PB + 12 PISOS + 2 RETIROS,2098.17m2,,U$S  1.200.000,PLUSVALIA  U$S 107.373,https://lideresenterrenos.com.ar/estudioTerreno/1053
Almagro,Gascon 670,404.20m2,9m,9.3m,43.15m,45.20m,18.40 m,24.53 m,CA  (Codigo Anterior : C3I - FOT: 4),MIXTURA 4,,PB + 12 PISOS + 2 RETIROS,2098.17m2,,U$S  1.200.000,PLUSVALIA  U$S 107.373,https://lideresenterrenos.com.ar/estudioTerreno/1053
Almagro,RIVADAVIA 4144,404.20m2,9m,9.3m,43.15m,45.20m,18.40 m,24.53 m,CA  (Codigo Anterior : C3I - FOT: 4),MIXTURA 4,,PB + 12 PISOS + 2 RETIROS,2098.17m2,,U$S  1.200.000,PLUSVALIA  U$S 107.373,https://lideresenterrenos.com.ar/estudioTerreno/1053
Balvanera,ALBERTI 272 / 278,267.44m2,18.75m,19.70m,14.60m,13.37m,No Alcanzada,m,CM  (Codigo Anterior : C3I - FOT: 4),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,3143.68m2,,U$S  450.000,PLUSVALIA  U$S 23.382,https://lideresenterrenos.com.ar/estudioTerreno/161
