Barrio,Títulos
Agronomia,SAN MARTIN 4382   
Almagro,LAMBARE 842/ 850   
Almagro,MAZA 562   
Almagro,VENEZUELA 3548   
Almagro,Gascon 670   
Almagro,BOGADO  4461   
Almagro,Guardia Vieja 3786   
Almagro,BILLINGHURST 45   
Almagro,RIVADAVIA 4144   
Almagro,"SALGUERO, JERONIMO 192   "
Almagro,BILLINGHURST 287   
Almagro,VIRREY LINIERS 177   
Almagro,SANCHEZ DE BUSTAMANTE 855   
Almagro,POTOSI 3824   
Balvanera,LAVALLE 2004 / 2012   
Balvanera,Peron 2124   
Balvanera,Hipolito Yrigoyen  2902   
Balvanera,LAVALLE 2946   
Balvanera,JUJUY 376   
Balvanera,URIBURU 605   
Balvanera,PASO 772   
Balvanera,ALBERTI 272 / 278   
Balvanera,PASCO 281   
Balvanera,LA RIOJA  700   
Barracas,IRIARTE 1656   
Barracas,PARACAS 27   
Barracas,Araoz De Lamadrid 1961   
Barracas,RIO CUARTO 2747   
Barracas,AV CASEROS 1402   
Barracas,AV MONTES DE OCA 1566   
Barracas,jovellanos 1431   
Barracas,JOVELLANOS 1377   
Belgrano,Cabildo  2120   
Belgrano,MANUEL UGARTE 2951   
Boedo,CHICLANA AV.  3626   
Boedo,Inclan  4121   
Boedo,CHICLANA 3834   
Boedo,GIBSON 4160   
Boedo,"SAN JUAN, AV 4041   "
Boedo,MUÑIZ 855   
Boedo,SALCEDO 3674   
Caballito,AMPERE  857   
Caballito,VALLE 316   
Caballito,"Gallardo, Angel Av. 146 / 48   "
Caballito,ESPINOSA 1528   
Chacarita,VIRREY LORETO 3735   
Chacarita,SANTOS DUMONT 4787   
Chacarita,ALVAREZ THOMAS 912 / 920   
Chacarita,ALVAREZ THOMAS  920   
Chacarita,Giribone  1239   
Coghlan, Manuela Pedraza 3861   
Coghlan,IBERA 3579   
Coghlan,CONGRESO 3163   
Coghlan,"Balbin, Ricardo, Dr. Av.  2730   "
Colegiales,DELGADO 1486   
Colegiales,"CABILDO 450, PLANOS APROBADOS    "
Constitucion,"Saenz PeÑa, Luis, Pres. 1619   "
Constitucion,RONDEAU 1780 / 1786   
Constitucion,Rondeau 1567   
Constitucion,RONDEAU 1780   
Constitucion,LUIS SAENZ PEÑA  1855   
Constitucion,VIRREY CEVALLOS 1048   
Constitucion,RONDEAU  1786   
Constitucion,FILIBERTO 1715   
Flores,MENDEZ DE ANDES 1950   
Flores,AV RIVADAVIA  7283   
Flores,GAVILAN 1052   
Flores,BILBAO 3326 / 3348   
Flores,"Falcon, Ramon L.,Cnel. 3032 / 38   "
Flores,REMEDIOS 3084   
Floresta,PERGAMINO 266   
Floresta,BARADERO 140   
Floresta,BAHIA BLANCA 1162   
Floresta,AV. RIVADAVIA 8269   
La Boca,IRALA 1175   
La Boca,IRALA 1152   
